TIME,OPEN,HIGH,LOW,CLOSE,TICKVOL,SPREAD,VOLUME
2025-06-11 03:48:00,3333.95,3334.23,3332.81,3333.08,139,5,0
2025-06-11 03:49:00,3333.08,3334.43,3332.52,3333.99,105,5,0
2025-06-11 03:50:00,3333.99,3334.11,3332.88,3333.55,106,12,0
2025-06-11 03:51:00,3333.55,3334.11,3333.23,3333.74,96,5,0
2025-06-11 03:52:00,3333.75,3333.9,3332.24,3332.31,109,5,0
2025-06-11 03:53:00,3332.31,3332.71,3331.84,3332.15,139,6,0
2025-06-11 03:54:00,3332.15,3332.57,3331.93,3332.01,103,5,0
2025-06-11 03:55:00,3332.0,3332.31,3331.52,3331.72,103,5,0
2025-06-11 03:56:00,3331.73,3332.48,3331.7,3332.46,51,5,0
2025-06-11 03:57:00,3332.46,3332.46,3331.32,3332.03,138,5,0
2025-06-11 03:58:00,3332.03,3332.75,3331.95,3332.33,104,5,0
2025-06-11 03:59:00,3332.33,3332.55,3332.21,3332.47,99,5,0
2025-06-11 04:00:00,3332.47,3333.17,3331.24,3333.17,201,5,0
2025-06-11 04:01:00,3333.26,3333.51,3332.5,3332.66,145,7,0
2025-06-11 04:02:00,3332.66,3333.23,3331.32,3331.52,139,7,0
2025-06-11 04:03:00,3331.52,3331.72,3330.55,3330.62,111,9,0
2025-06-11 04:04:00,3330.61,3331.87,3330.57,3330.88,99,8,0
2025-06-11 04:05:00,3330.88,3332.24,3330.45,3332.14,113,6,0
2025-06-11 04:06:00,3332.29,3332.8,3331.83,3332.74,115,5,0
2025-06-11 04:07:00,3332.74,3332.87,3332.17,3332.74,88,5,0
2025-06-11 04:08:00,3332.74,3332.87,3330.75,3331.01,153,5,0
2025-06-11 04:09:00,3331.14,3332.9,3331.06,3332.48,138,5,0
2025-06-11 04:10:00,3332.48,3334.56,3332.47,3334.27,141,5,0
2025-06-11 04:11:00,3334.27,3334.7,3334.06,3334.26,159,9,0
2025-06-11 04:12:00,3334.26,3334.44,3333.26,3333.34,123,6,0
2025-06-11 04:13:00,3333.34,3334.29,3333.34,3334.09,123,5,0
2025-06-11 04:14:00,3334.09,3334.27,3333.55,3334.07,112,5,0
2025-06-11 04:15:00,3334.07,3334.5,3333.93,3334.12,107,5,0
2025-06-11 04:16:00,3334.12,3334.57,3333.14,3333.55,104,5,0
2025-06-11 04:17:00,3333.55,3334.73,3333.34,3334.6,137,5,0
2025-06-11 04:18:00,3334.6,3336.07,3334.45,3336.06,141,5,0
2025-06-11 04:19:00,3336.06,3336.49,3335.59,3335.88,165,10,0
2025-06-11 04:20:00,3335.88,3336.15,3335.6,3335.8,93,5,0
2025-06-11 04:21:00,3335.8,3336.35,3335.48,3335.97,109,5,0
2025-06-11 04:22:00,3335.97,3336.02,3335.21,3335.24,85,5,0
2025-06-11 04:23:00,3335.24,3335.76,3335.07,3335.54,113,5,0
2025-06-11 04:24:00,3335.53,3335.61,3334.66,3335.33,100,5,0
2025-06-11 04:25:00,3335.33,3335.73,3334.86,3334.98,98,7,0
2025-06-11 04:26:00,3335.0,3336.09,3334.72,3335.3,98,11,0
2025-06-11 04:27:00,3335.37,3336.1,3335.34,3335.94,114,9,0
2025-06-11 04:28:00,3335.94,3336.55,3335.13,3336.5,104,6,0
2025-06-11 04:29:00,3336.5,3337.42,3335.8,3335.8,116,5,0
2025-06-11 04:30:00,3335.8,3336.3,3335.04,3335.44,128,12,0
2025-06-11 04:31:00,3335.44,3335.69,3335.24,3335.62,94,5,0
2025-06-11 04:32:00,3335.62,3335.63,3334.72,3334.94,80,5,0
